iter	RMSE
943	336520.7477
944	336481.7607
945	336459.3155
946	336427.0421
947	336414.3569
948	336401.7849
949	336262.609
950	336242.9887
951	336217.3734
952	336204.7653
953	335993.6181
954	335716.0832
955	335683.885
956	335664.6263
957	335406.8957
958	335394.1839
959	335368.6098
960	335356.11
961	335343.6952
962	335312.7284
963	335300.4224
964	335282.0802
965	335063.5662
966	334868.6437
967	334856.225
968	334798.384
969	334495.4322
970	334400.9955
971	334388.551
972	334369.0347
973	334327.7642
974	334315.4062
975	334279.006
976	334266.665
977	334235.968
978	334223.8285
979	334205.4581
980	334176.3361
981	333816.5466
982	333794.8602
983	333436.9598
984	333115.6399
985	333103.0503
986	333013.7229
987	332965.2853
988	332946.7749
989	332934.3853
990	332737.9432
991	332707.3355
992	332415.7931
993	332392.3913
994	332361.2621
995	332315.3781
996	332303.0156
997	332268.1675
998	332044.6098
999	332031.5042
