iter	Passed	Remaining
780	2314	649
781	2317	646
782	2320	643
783	2323	640
784	2326	637
785	2329	634
786	2332	631
787	2335	628
788	2337	625
789	2340	622
790	2343	619
791	2346	616
792	2348	613
793	2351	610
794	2354	607
795	2357	604
796	2360	601
797	2362	598
798	2365	595
799	2368	592
800	2370	589
801	2373	585
802	2376	582
803	2378	579
804	2381	576
805	2384	573
806	2387	570
807	2390	567
808	2392	564
809	2395	561
810	2398	559
811	2401	556
812	2404	552
813	2406	549
814	2409	546
815	2412	543
816	2414	540
817	2417	537
818	2420	534
819	2423	531
820	2426	529
821	2429	526
822	2432	523
823	2434	520
824	2437	516
825	2440	514
826	2443	511
827	2446	508
828	2449	505
829	2452	502
830	2455	499
831	2458	496
832	2461	493
833	2464	490
834	2467	487
835	2470	484
836	2472	481
837	2475	478
838	2478	475
839	2481	472
840	2484	469
841	2487	466
842	2490	463
843	2492	460
844	2495	457
845	2498	454
846	2501	451
847	2504	448
848	2507	445
849	2509	442
850	2512	439
851	2515	437
852	2518	434
853	2521	431
854	2524	428
855	2527	425
856	2530	422
857	2532	419
858	2536	416
859	2538	413
860	2541	410
861	2544	407
862	2547	404
863	2550	401
864	2553	398
865	2556	395
866	2558	392
867	2561	389
868	2563	386
869	2566	383
870	2569	380
871	2571	377
872	2574	374
873	2577	371
874	2580	368
875	2582	365
876	2585	362
877	2587	359
878	2590	356
879	2592	353
880	2595	350
881	2597	347
882	2600	344
883	2603	341
884	2606	338
885	2609	335
886	2611	332
887	2614	329
888	2616	326
889	2619	323
890	2621	320
891	2624	317
892	2626	314
893	2629	311
894	2631	308
895	2634	305
896	2636	302
897	2639	299
898	2641	296
899	2644	293
900	2647	290
901	2650	287
902	2652	284
903	2655	282
904	2658	279
905	2661	276
906	2663	273
907	2665	270
908	2668	267
909	2670	264
910	2673	261
911	2676	258
912	2678	255
913	2681	252
914	2683	249
915	2686	246
916	2689	243
917	2691	240
918	2694	237
919	2697	234
920	2699	231
921	2702	228
922	2704	225
923	2707	222
924	2709	219
925	2712	216
926	2715	213
927	2717	210
928	2720	207
929	2723	204
930	2726	202
931	2728	199
932	2731	196
933	2734	193
934	2736	190
935	2738	187
936	2741	184
937	2744	181
938	2746	178
939	2749	175
940	2751	172
941	2754	169
942	2756	166
943	2759	163
944	2761	160
945	2764	157
946	2767	154
947	2769	151
948	2772	148
949	2774	146
950	2777	143
951	2780	140
952	2782	137
953	2785	134
954	2788	131
955	2790	128
956	2793	125
957	2795	122
958	2798	119
959	2801	116
960	2803	113
961	2806	110
962	2808	107
963	2811	104
964	2813	102
965	2816	99
966	2819	96
967	2821	93
968	2824	90
969	2827	87
970	2829	84
971	2832	81
972	2834	78
973	2837	75
974	2839	72
975	2842	69
976	2844	66
977	2847	64
978	2849	61
979	2852	58
980	2854	55
981	2857	52
982	2860	49
983	2863	46
984	2865	43
985	2868	40
986	2870	37
987	2873	34
988	2875	31
989	2878	29
990	2880	26
991	2883	23
992	2886	20
993	2888	17
994	2891	14
995	2894	11
996	2898	8
997	2901	5
998	2903	2
999	2906	0
