iter	Passed	Remaining
283	660	1664
284	663	1664
285	665	1662
286	668	1659
287	670	1658
288	673	1656
289	675	1653
290	677	1650
291	679	1647
292	682	1645
293	684	1644
294	687	1641
295	689	1639
296	691	1636
297	693	1633
298	695	1630
299	697	1628
300	700	1626
301	702	1623
302	704	1621
303	707	1619
304	709	1617
305	711	1614
306	713	1611
307	715	1608
308	718	1606
309	720	1603
310	722	1600
311	724	1597
312	726	1594
313	729	1593
314	731	1590
315	733	1588
316	736	1585
317	738	1583
318	740	1581
319	743	1579
320	745	1577
321	748	1575
322	751	1574
323	753	1572
324	756	1570
325	758	1568
326	761	1566
327	763	1563
328	765	1561
329	767	1559
330	770	1557
331	772	1554
332	775	1553
333	777	1550
334	780	1548
335	782	1546
336	785	1544
337	787	1542
338	789	1540
339	791	1537
340	794	1534
341	796	1531
342	798	1528
343	800	1525
344	802	1523
345	804	1520
346	806	1518
347	809	1515
348	811	1513
349	813	1511
350	815	1508
351	818	1506
352	820	1504
353	823	1503
354	825	1500
355	828	1498
356	830	1495
357	832	1493
358	834	1490
359	837	1488
360	839	1486
361	841	1483
362	844	1481
363	846	1478
364	849	1477
365	851	1474
366	853	1472
367	856	1470
368	858	1467
369	860	1465
370	862	1462
371	865	1460
372	867	1459
373	870	1457
374	872	1454
375	875	1452
376	877	1450
377	880	1448
378	882	1446
379	885	1444
380	887	1442
381	890	1439
382	892	1437
383	894	1435
384	897	1433
385	899	1431
386	901	1428
387	903	1425
388	905	1422
389	907	1420
390	910	1418
391	913	1416
392	915	1414
393	918	1413
394	920	1410
395	922	1407
396	924	1404
397	926	1400
398	928	1398
399	930	1396
400	933	1393
401	935	1391
402	937	1389
403	940	1387
404	942	1384
405	944	1381
406	947	1379
407	949	1377
408	951	1375
409	954	1372
410	956	1370
411	958	1368
412	960	1365
413	962	1362
414	965	1360
415	967	1358
416	970	1356
417	972	1354
418	974	1351
419	976	1348
420	978	1346
421	981	1343
422	983	1342
423	986	1339
424	988	1337
425	990	1334
426	992	1332
427	994	1329
428	996	1326
429	998	1324
430	1001	1321
431	1003	1319
432	1005	1316
433	1007	1314
434	1009	1311
435	1012	1309
436	1014	1307
437	1017	1305
438	1019	1302
439	1021	1300
440	1023	1297
441	1025	1295
442	1028	1292
443	1030	1290
444	1032	1288
445	1035	1285
446	1037	1283
447	1039	1281
448	1042	1279
449	1045	1277
450	1047	1275
451	1050	1273
